token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
51338,NIFTY24JUN2115400CE,NIFTY,24JUN2021,1540000.000000,75,OPTIDX,NFO,5.000000
39750,NIFTY05AUG2116850PE,NIFTY,05AUG2021,1685000.000000,50,OPTIDX,NFO,5.000000
53859,NIFTY29JUL2114300CE,NIFTY,29JUL2021,1430000.000000,50,OPTIDX,NFO,5.000000
39645,NIFTY29DEC2216000CE,NIFTY,29DEC2022,1600000.000000,75,OPTIDX,NFO,5.000000
51985,NIFTY26AUG2114300CE,NIFTY,26AUG2021,1430000.000000,50,OPTIDX,NFO,5.000000
53013,NIFTY17JUN2116250CE,NIFTY,17JUN2021,1625000.000000,75,OPTIDX,NFO,5.000000
50936,NIFTY30JUN2211000PE,NIFTY,30JUN2022,1100000.000000,75,OPTIDX,NFO,5.000000
52425,NIFTY01JUL2113400PE,NIFTY,01JUL2021,1340000.000000,75,OPTIDX,NFO,5.000000
52548,NIFTY26AUG2114950CE,NIFTY,26AUG2021,1495000.000000,50,OPTIDX,NFO,5.000000
51932,NIFTY26AUG2114050PE,NIFTY,26AUG2021,1405000.000000,50,OPTIDX,NFO,5.000000
46002,NIFTY24JUN2110500CE,NIFTY,24JUN2021,1050000.000000,75,OPTIDX,NFO,5.000000
52432,NIFTY01JUL2113600CE,NIFTY,01JUL2021,1360000.000000,75,OPTIDX,NFO,5.000000
47418,NIFTY26JUN2515500PE,NIFTY,26JUN2025,1550000.000000,75,OPTIDX,NFO,5.000000
43370,NIFTY30JUN2214000CE,NIFTY,30JUN2022,1400000.000000,75,OPTIDX,NFO,5.000000
47436,NIFTY22JUL2114900PE,NIFTY,22JUL2021,1490000.000000,75,OPTIDX,NFO,5.000000
44128,NIFTY15JUL2115250CE,NIFTY,15JUL2021,1525000.000000,75,OPTIDX,NFO,5.000000
43390,NIFTY30SEP2114500PE,NIFTY,30SEP2021,1450000.000000,75,OPTIDX,NFO,5.000000
47803,NIFTY10JUN2115850CE,NIFTY,10JUN2021,1585000.000000,75,OPTIDX,NFO,5.000000
47410,NIFTY22JUL2114450CE,NIFTY,22JUL2021,1445000.000000,75,OPTIDX,NFO,5.000000
51461,NIFTY17JUN2115900PE,NIFTY,17JUN2021,1590000.000000,75,OPTIDX,NFO,5.000000
55111,NIFTY29JUN2318000CE,NIFTY,29JUN2023,1800000.000000,75,OPTIDX,NFO,5.000000
52822,NIFTY26AUG2116300PE,NIFTY,26AUG2021,1630000.000000,50,OPTIDX,NFO,5.000000
39698,NIFTY05AUG2116250PE,NIFTY,05AUG2021,1625000.000000,50,OPTIDX,NFO,5.000000
35280,NIFTY30SEP2116500CE,NIFTY,30SEP2021,1650000.000000,75,OPTIDX,NFO,5.000000
39436,NIFTY08JUL2114850PE,NIFTY,08JUL2021,1485000.000000,75,OPTIDX,NFO,5.000000
52833,NIFTY26AUG2116500PE,NIFTY,26AUG2021,1650000.000000,50,OPTIDX,NFO,5.000000
51473,NIFTY17JUN2116100CE,NIFTY,17JUN2021,1610000.000000,75,OPTIDX,NFO,5.000000
39364,NIFTY08JUL2114150PE,NIFTY,08JUL2021,1415000.000000,75,OPTIDX,NFO,5.000000
52077,NIFTY26AUG2114800PE,NIFTY,26AUG2021,1480000.000000,50,OPTIDX,NFO,5.000000
51379,NIFTY17JUN2114150CE,NIFTY,17JUN2021,1415000.000000,75,OPTIDX,NFO,5.000000
51448,NIFTY17JUN2115650PE,NIFTY,17JUN2021,1565000.000000,75,OPTIDX,NFO,5.000000
52828,NIFTY26AUG2116400CE,NIFTY,26AUG2021,1640000.000000,50,OPTIDX,NFO,5.000000
44390,NIFTY15JUL2116400PE,NIFTY,15JUL2021,1640000.000000,75,OPTIDX,NFO,5.000000
36446,NIFTY08JUL2117000CE,NIFTY,08JUL2021,1700000.000000,75,OPTIDX,NFO,5.000000
55120,NIFTY26JUN2518000PE,NIFTY,26JUN2025,1800000.000000,75,OPTIDX,NFO,5.000000
51276,NIFTY17JUN2113750PE,NIFTY,17JUN2021,1375000.000000,75,OPTIDX,NFO,5.000000
53893,NIFTY29JUL2114950CE,NIFTY,29JUL2021,1495000.000000,50,OPTIDX,NFO,5.000000
39325,NIFTY08JUL2113750PE,NIFTY,08JUL2021,1375000.000000,75,OPTIDX,NFO,5.000000
40969,NIFTY24JUN2117250PE,NIFTY,24JUN2021,1725000.000000,75,OPTIDX,NFO,5.000000
39644,NIFTY30JUN2216000PE,NIFTY,30JUN2022,1600000.000000,75,OPTIDX,NFO,5.000000
52509,NIFTY01JUL2115150PE,NIFTY,01JUL2021,1515000.000000,75,OPTIDX,NFO,5.000000
51268,NIFTY24JUN2113950CE,NIFTY,24JUN2021,1395000.000000,75,OPTIDX,NFO,5.000000
47518,NIFTY22JUL2115850PE,NIFTY,22JUL2021,1585000.000000,75,OPTIDX,NFO,5.000000
47798,NIFTY10JUN2115700PE,NIFTY,10JUN2021,1570000.000000,75,OPTIDX,NFO,5.000000
47433,NIFTY22JUL2114850CE,NIFTY,22JUL2021,1485000.000000,75,OPTIDX,NFO,5.000000
36495,NIFTY29JUL2117050PE,NIFTY,29JUL2021,1705000.000000,50,OPTIDX,NFO,5.000000
39389,NIFTY24JUN2113000CE,NIFTY,24JUN2021,1300000.000000,75,OPTIDX,NFO,5.000000
39746,NIFTY05AUG2116850CE,NIFTY,05AUG2021,1685000.000000,50,OPTIDX,NFO,5.000000
46818,NIFTY28DEC2311500CE,NIFTY,28DEC2023,1150000.000000,75,OPTIDX,NFO,5.000000
35153,NIFTY17JUN2116900PE,NIFTY,17JUN2021,1690000.000000,75,OPTIDX,NFO,5.000000
52048,NIFTY26AUG2114650PE,NIFTY,26AUG2021,1465000.000000,50,OPTIDX,NFO,5.000000
42048,NIFTY24JUN2117500PE,NIFTY,24JUN2021,1750000.000000,75,OPTIDX,NFO,5.000000
45889,NIFTY29JUL2116650CE,NIFTY,29JUL2021,1665000.000000,50,OPTIDX,NFO,5.000000
43362,NIFTY24JUN2114000PE,NIFTY,24JUN2021,1400000.000000,75,OPTIDX,NFO,5.000000
47412,NIFTY22JUL2114500CE,NIFTY,22JUL2021,1450000.000000,75,OPTIDX,NFO,5.000000
35136,NIFTY29JUL2113200PE,NIFTY,29JUL2021,1320000.000000,50,OPTIDX,NFO,5.000000
52423,NIFTY01JUL2113350PE,NIFTY,01JUL2021,1335000.000000,75,OPTIDX,NFO,5.000000
45896,NIFTY29JUL2116700PE,NIFTY,29JUL2021,1670000.000000,50,OPTIDX,NFO,5.000000
45853,NIFTY28DEC2317000PE,NIFTY,28DEC2023,1700000.000000,75,OPTIDX,NFO,5.000000
59373,NIFTY26JUN2513000CE,NIFTY,26JUN2025,1300000.000000,75,OPTIDX,NFO,5.000000
35298,NIFTY30DEC2116500CE,NIFTY,30DEC2021,1650000.000000,75,OPTIDX,NFO,5.000000
35032,NIFTY08JUL2116250CE,NIFTY,08JUL2021,1625000.000000,75,OPTIDX,NFO,5.000000
52526,NIFTY01JUL2115600CE,NIFTY,01JUL2021,1560000.000000,75,OPTIDX,NFO,5.000000
50929,NIFTY30JUN2210700PE,NIFTY,30JUN2022,1070000.000000,75,OPTIDX,NFO,5.000000
47487,NIFTY22JUL2115450PE,NIFTY,22JUL2021,1545000.000000,75,OPTIDX,NFO,5.000000
45502,NIFTY30SEP2115500CE,NIFTY,30SEP2021,1550000.000000,75,OPTIDX,NFO,5.000000
